-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2022 
Location: Latitude  -6.3488   Longitude 107.7636 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 274.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2018,5.27,15.82,10.55,5.27,0.0,0.0,0.0,0.0,0.0,5.27,10.55,10.55,5.27
PRECTOTCORR,2019,10.55,10.55,10.55,10.55,5.27,0.0,0.0,0.0,0.0,0.0,5.27,10.55,5.27
PRECTOTCORR,2020,10.55,21.09,15.82,10.55,5.27,0.0,5.27,0.0,5.27,10.55,5.27,5.27,10.55
PRECTOTCORR,2021,10.38,18.83,15.82,7.62,5.93,5.12,2.08,2.93,5.07,7.15,9.85,9.9,8.32
PRECTOTCORR,2022,7.37,8.15,8.13,10.25,6.33,5.39,4.06,3.65,6.0,9.78,8.56,8.47,7.17
