-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2022 
Location: Latitude  -6.8995   Longitude 107.5339 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 921.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2018,10.55,15.82,10.55,10.55,5.27,0.0,0.0,0.0,5.27,5.27,15.82,15.82,5.27
PRECTOTCORR,2019,10.55,15.82,10.55,15.82,5.27,0.0,0.0,0.0,0.0,0.0,5.27,15.82,5.27
PRECTOTCORR,2020,10.55,21.09,21.09,10.55,15.82,5.27,5.27,0.0,5.27,15.82,10.55,10.55,10.55
PRECTOTCORR,2021,11.06,16.39,19.73,7.08,6.65,8.7,2.34,3.6,5.96,9.39,15.08,11.83,9.77
PRECTOTCORR,2022,7.04,8.97,9.79,12.05,8.06,7.06,6.46,4.46,10.04,13.77,13.79,11.41,9.4
