-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2022 
Location: Latitude  -7.2279   Longitude 107.9087 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 666.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2018,5.27,15.82,10.55,10.55,0.0,0.0,0.0,0.0,0.0,5.27,10.55,10.55,5.27
PRECTOTCORR,2019,10.55,15.82,10.55,10.55,5.27,0.0,0.0,0.0,0.0,0.0,5.27,10.55,5.27
PRECTOTCORR,2020,10.55,15.82,26.37,10.55,10.55,5.27,5.27,0.0,5.27,15.82,10.55,10.55,10.55
PRECTOTCORR,2021,10.55,15.82,14.46,5.48,4.78,5.36,1.4,2.31,4.16,6.27,15.9,11.09,8.07
PRECTOTCORR,2022,7.99,8.45,11.69,11.75,6.67,5.16,4.89,2.33,6.7,10.74,12.72,8.98,8.16
